punt,prop,verbinding,uitWolk,bron,doel,gewicht,numGradA,numGradB,angNieuw,angOud
begin,1,0,0,in,work,-0.13873053,0.024219505,0.11668602,-0.0028263669,-0.0028263669
begin,1,1,0,in,work,-0.13508795,-0.98396060,-1.0131638,-0.0029523091,-0.0029523091
begin,1,2,0,in,work,-0.24314916,1.2280743,1.2541314,-0.0015124699,-0.0015124699
begin,1,3,0,in,work,0.14236432,0.15013803,0.039137471,-0.0048498840,-0.0048498840
begin,1,4,0,in,work,-0.0073572216,-0.38865718,-0.21276145,-0.0019000389,-0.0019000389
begin,1,5,0,in,work,-0.14948839,0.055552200,-0.029120139,-0.0040118738,-0.0040118738
begin,1,6,0,in,work,0.14075407,0.10423338,0.026234734,-0.0042054099,-0.0042054099
begin,1,7,0,in,work,-0.11448754,-0.20239637,0.0044914585,0.000062434017,0.000062434017
begin,1,8,0,in,work,0.071524978,0.51649792,0.54925721,-0.0052361063,-0.0052361063
begin,1,9,0,in,work,0.18656386,-0.78880398,-0.71635089,-0.0024238691,-0.0024238691
begin,1,10,0,in,work,0.10076074,0.28066090,0.037308640,-0.0045755845,-0.0045755845
begin,1,11,0,in,work,-0.025265226,1.0529450,1.5341533,0.0028516327,0.0028516327
begin,1,12,0,in,work,-0.030206800,1.4668517,1.4831680,-0.0043493824,-0.0043493824
begin,1,13,0,in,work,0.22553000,-1.6388148,-1.6826102,-0.0023482770,-0.0023482770
begin,1,14,0,in,work,0.20462656,0.29785980,0.052466526,-0.0028524761,-0.0028524761
begin,1,15,0,in,work,-0.16245195,1.6684646,2.3097140,0.0033721115,0.0033721115
begin,1,16,0,in,work,-0.053365611,1.7450471,2.0394859,-0.0022147781,-0.0022147781
begin,1,17,0,in,work,-0.016341502,-2.0752184,-2.1362649,-0.0033131328,-0.0033131328
begin,1,18,0,in,work,-0.15074016,1.0901972,1.5820357,0.0025263567,0.0025263567
begin,1,19,0,in,work,0.24072853,0.59129981,0.61163340,-0.0029362181,-0.0029362181
begin,1,20,0,in,work,-0.10833246,-0.19660119,-0.15237199,-0.0020767881,-0.0020767881
begin,1,21,0,in,work,-0.083769627,-0.13854795,-0.12844059,-0.0010935857,-0.0010935857
begin,1,22,0,in,work,0.035584155,0.024420310,0.25934778,0.00030870639,0.00030870639
begin,1,23,0,in,work,0.12639323,-0.77674569,-0.62358200,-0.00058607452,-0.00058607452
begin,1,24,0,in,work,0.11700771,1.4517697,1.3834404,0.0019826089,0.0019826089
begin,1,25,0,in,work,-0.13919041,-0.15097908,0.024617335,-0.0026058160,-0.0026058160
begin,1,26,0,in,work,0.040943913,-0.81532983,-0.83350490,-0.0031058390,-0.0031058390
begin,1,27,0,in,work,0.17233816,-1.3066844,-1.2577005,-0.0026053504,-0.0026053504
begin,1,28,0,in,work,0.087308884,0.98384182,1.0297487,-0.00025854670,-0.00025854670
begin,1,29,0,in,work,0.046754852,0.072288072,-0.0077687442,-0.00072828854,-0.00072828854
begin,1,30,0,in,work,0.14990826,0.91276544,1.1694508,0.0022305156,0.0022305156
begin,1,31,0,in,work,0.21906336,0.53611160,0.56371732,0.00064999059,0.00064999059
begin,1,32,0,in,work,-0.24990302,-0.013742457,-0.018465568,-0.0015873747,-0.0015873747
begin,1,33,0,in,work,-0.15425014,-0.30494943,-0.055660685,0.00035150284,0.00035150284
begin,1,34,0,in,work,-0.084304929,0.60433730,0.46881696,0.0014421508,0.0014421508
begin,1,35,0,in,work,0.18722455,-0.022627031,0.046460530,-0.0018337431,-0.0018337431
begin,1,36,0,in,work,0.064429186,-0.36450171,-0.20467838,-0.0016050576,-0.0016050576
begin,1,37,0,in,work,0.066042282,-0.81156223,-0.60676532,-0.00074448176,-0.00074448176
begin,1,38,0,in,work,-0.11373698,1.1678480,0.97072508,0.00098018508,0.00098018508
begin,1,39,0,in,work,-0.19625160,-0.48882734,-0.55325517,-0.0017803931,-0.0017803931
begin,1,40,0,in,work,-0.020415314,-0.59945990,-0.53316045,-0.00095976686,-0.00095976686
begin,1,41,0,in,work,0.18347465,0.78709820,0.63568139,-0.00047378304,-0.00047378304
begin,1,42,0,in,work,0.10786029,0.0066256412,0.038708851,-0.00097775760,-0.00097775760
begin,1,43,0,in,work,0.12110409,-0.55292672,-0.46251357,-0.00088205019,-0.00088205019
begin,1,44,0,in,work,-0.036194492,0.22305025,0.12139876,-0.0011196577,-0.0011196577
begin,1,45,0,in,work,-0.087756962,0.086032678,0.043801272,-0.0014149915,-0.0014149915
begin,1,46,0,in,work,0.075527795,-0.25430792,-0.029493583,0.00036002874,0.00036002874
begin,1,47,0,in,work,0.20991054,0.24500281,0.29242554,-0.0014820194,-0.0014820194
begin,1,48,0,in,work,-0.22700045,-0.36169114,-0.39372995,-0.0010864237,-0.0010864237
begin,1,49,0,in,work,-0.13956475,0.13811642,0.055197050,-0.0013404873,-0.0013404873
begin,1,50,0,in,work,-0.22247815,0.41945642,0.54452860,0.0015972884,0.0015972884
begin,1,51,0,in,work,-0.020594226,0.70322938,0.75410314,-0.0015451402,-0.0015451402
begin,1,52,0,in,work,-0.22394240,-0.88086620,-0.89563013,-0.0015564740,-0.0015564740
begin,1,53,1,work,out,0.091772862,2.1960109,2.2600695,1.0285447,1.0349118
begin,1,54,1,work,work,-0.14285955,0.22371219,0.47381919,0.00080890423,0.00040895009
begin,1,55,1,work,work,-0.061022043,0.76109208,0.65444170,-0.00082239993,-0.00096137451
begin,1,56,1,work,out,0.22709741,-1.6174917,-1.3649648,-0.83120392,-0.83656544
begin,1,57,1,work,out,-0.20225607,1.9417879,1.8970712,0.83118233,0.83332966
begin,1,58,1,work,out,-0.017057631,-2.9567191,-2.6431409,-1.3165427,-1.3229786
begin,1,59,1,work,out,0.13874808,3.2306946,3.1170257,1.3166237,1.3270643
begin,1,60,1,work,work,-0.086066589,-0.10087701,-0.012258345,0.00054788762,0.00029659728
begin,1,61,1,work,work,-0.0018309705,0.76577368,0.66536752,0.0010098770,0.0016792430
begin,1,62,1,work,out,0.20477124,0.20216140,0.093190430,0.20681164,0.21114796
begin,1,63,1,work,out,-0.048206784,0.072430149,-0.14533541,-0.21925101,-0.22098572
begin,1,64,1,work,out,0.032294936,-2.4656987,-2.6194509,-1.1283349,-1.1355073
begin,1,65,1,work,out,-0.012664281,2.5906992,2.7173655,1.1094860,1.1187561
begin,1,66,1,work,work,0.10351161,0.0015205229,0.016713493,-0.0018651798,-0.0016206758
begin,1,67,1,work,work,0.24514481,0.53531480,0.55661933,0.0012522207,0.0011527433
begin,1,68,1,work,out,-0.22479501,0.92303606,0.72084086,0.38593679,0.39117775
begin,1,69,1,work,out,0.099963076,-0.96423551,-1.1601492,-0.39166055,-0.39238715
begin,1,70,1,work,out,0.075942725,-0.89942923,-0.76310460,-0.45237730,-0.45806935
begin,1,71,1,work,work,0.026025189,0.023853338,-0.0071932619,-0.00031660802,-0.00013067713
begin,1,72,1,work,work,0.032619290,0.065065033,0.33299771,0.000047506664,0.00040413127
begin,1,73,1,work,work,-0.13451952,0.21740795,0.28047122,-0.00057931681,-0.00040608080
half getraind,1,0,0,in,work,-0.088205174,-1.7710030,-1.9843313,-0.0044173884,-0.0044173884
half getraind,1,1,0,in,work,-0.087984666,-2.2436788,-2.0658618,-0.0010238222,-0.0010238222
half getraind,1,2,0,in,work,-0.12380462,-0.70407372,0.30936427,-0.0026098113,-0.0026098113
half getraind,1,3,0,in,work,0.067769147,-1.0612771,-0.36560257,-0.0051547571,-0.0051547571
half getraind,1,4,0,in,work,-0.023309793,-3.5349202,-3.5473793,-0.0078894570,-0.0078894570
half getraind,1,5,0,in,work,-0.066057704,-4.1273074,-3.0526668,-0.0041005520,-0.0041005520
half getraind,1,6,0,in,work,0.078862809,1.5544160,1.3241420,-0.0031254140,-0.0031254140
half getraind,1,7,0,in,work,-0.090533011,-8.1289921,-8.2977042,-0.010928202,-0.010928202
half getraind,1,8,0,in,work,0.028206101,-2.3287136,-3.6296758,-0.0041445430,-0.0041445430
half getraind,1,9,0,in,work,0.12582268,1.9508684,2.6606983,0.0044564857,0.0044564857
half getraind,1,10,0,in,work,0.043001249,2.7752582,3.0701454,-0.0044572821,-0.0044572821
half getraind,1,11,0,in,work,-0.030130012,-9.0168919,-10.341707,-0.0087895937,-0.0087895937
half getraind,1,12,0,in,work,-0.014468869,-0.039015539,-0.10314061,-0.0032364240,-0.0032364240
half getraind,1,13,0,in,work,0.14143975,1.6767994,2.2153150,0.0035812164,0.0035812164
half getraind,1,14,0,in,work,0.13727184,1.9420598,1.9398855,-0.00050938480,-0.00050938480
half getraind,1,15,0,in,work,-0.12013382,-4.4234737,-5.0790449,-0.0056503072,-0.0056503072
half getraind,1,16,0,in,work,-0.032673609,0.90627008,1.6760178,0.0011560150,0.0011560150
half getraind,1,17,0,in,work,-0.0022485908,0.75617181,0.77677823,0.0013468436,0.0013468436
half getraind,1,18,0,in,work,-0.10564900,-1.7521231,-1.0697334,-0.0021108715,-0.0021108715
half getraind,1,19,0,in,work,0.18072639,-0.70425426,0.85264761,-0.0010459587,-0.0010459587
half getraind,1,20,0,in,work,-0.072556272,0.91843270,0.26125610,-0.00079392427,-0.00079392427
half getraind,1,21,0,in,work,-0.061930850,0.12203608,-0.34544318,0.0021820704,0.0021820704
half getraind,1,22,0,in,work,0.040076975,2.7585057,0.59900843,0.0015602783,0.0015602783
half getraind,1,23,0,in,work,0.12136951,-1.9715035,-1.1298411,-0.0022179759,-0.0022179759
half getraind,1,24,0,in,work,0.086197510,0.31981521,0.17035319,-0.0014494259,-0.0014494259
half getraind,1,25,0,in,work,-0.078391336,-0.61166624,-1.4065387,-0.0041632884,-0.0041632884
half getraind,1,26,0,in,work,0.035210509,2.4888364,1.8535120,0.0023679098,0.0023679098
half getraind,1,27,0,in,work,0.11602677,-3.2093339,-1.8861582,-0.0037390671,-0.0037390671
half getraind,1,28,0,in,work,0.077230617,1.2652687,1.1148872,0.0019671909,0.0019671909
half getraind,1,29,0,in,work,0.045755308,0.46717911,0.77297123,0.0011215680,0.0011215680
half getraind,1,30,0,in,work,0.12302659,-0.21703479,-0.16194887,0.00014059398,0.00014059398
half getraind,1,31,0,in,work,0.19363444,0.061392759,1.6183923,0.0015265407,0.0015265407
half getraind,1,32,0,in,work,-0.16464561,-0.38300400,-1.8244602,-0.0026874046,-0.0026874046
half getraind,1,33,0,in,work,-0.097701281,-1.6688049,0.69836584,-0.00023862844,-0.00023862844
half getraind,1,34,0,in,work,-0.063077442,-1.2580236,-1.5064010,-0.0023782857,-0.0023782857
half getraind,1,35,0,in,work,0.15489338,-2.1185728,-2.2762704,-0.0051736475,-0.0051736475
half getraind,1,36,0,in,work,0.050352596,5.1225191,6.0642663,0.0060649385,0.0060649385
half getraind,1,37,0,in,work,0.058965534,-3.1580339,-1.4997636,-0.00095882104,-0.00095882104
half getraind,1,38,0,in,work,-0.079214044,-0.74727910,-1.2840200,-0.0023451518,-0.0023451518
half getraind,1,39,0,in,work,-0.14983118,3.1025815,2.6306210,0.0040789971,0.0040789971
half getraind,1,40,0,in,work,-0.012840382,-2.6656894,-2.3207504,-0.00071206915,-0.00071206915
half getraind,1,41,0,in,work,0.14829729,0.35520532,0.091085771,-0.0010474270,-0.0010474270
half getraind,1,42,0,in,work,0.095950171,-0.68896231,-0.52151754,-0.0020333775,-0.0020333775
half getraind,1,43,0,in,work,0.10441828,-0.16775546,-0.035076902,-0.00064822114,-0.00064822114
half getraind,1,44,0,in,work,-0.014417316,0.41494424,0.41751670,0.00057139035,0.00057139035
half getraind,1,45,0,in,work,-0.074806988,0.36572761,0.49909319,-0.000063707381,-0.000063707381
half getraind,1,46,0,in,work,0.053462151,-2.5002691,-2.6362220,-0.0039153277,-0.0039153277
half getraind,1,47,0,in,work,0.17045647,-0.53345168,-0.51942337,-0.0013779636,-0.0013779636
half getraind,1,48,0,in,work,-0.17945445,0.70270879,0.72093946,0.0014515599,0.0014515599
half getraind,1,49,0,in,work,-0.11366259,1.4626898,1.2797438,0.0016917661,0.0016917661
half getraind,1,50,0,in,work,-0.19907382,-4.4206540,-4.1654798,-0.0051126290,-0.0051126290
half getraind,1,51,0,in,work,-0.019907413,0.64979724,0.46028819,0.00013007037,0.00013007037
half getraind,1,52,0,in,work,-0.17167008,0.71487673,0.90635149,0.0018844823,0.0018844823
half getraind,1,53,1,work,out,0.48804969,0.61444999,0.90521321,0.25561652,0.25967119
half getraind,1,54,1,work,work,-0.12969369,-1.0116805,-1.7236274,-0.0017191287,-0.0017721463
half getraind,1,55,1,work,work,-0.054819286,0.69165581,-0.066468477,-0.000023025590,0.000060077813
half getraind,1,56,1,work,out,-0.59313715,-0.73961809,-1.2693716,-0.41215295,-0.41445268
half getraind,1,57,1,work,out,0.58184046,1.4477747,0.51321747,0.39428671,0.39691850
half getraind,1,58,1,work,out,-0.90120924,0.016928527,-1.0819013,-0.55513806,-0.55612005
half getraind,1,59,1,work,out,0.88770056,0.59754053,1.6693529,0.54805046,0.55172387
half getraind,1,60,1,work,work,-0.069792815,-0.77672192,-0.27591112,-0.00018576981,0.00060450195
half getraind,1,61,1,work,work,-0.0032701073,-0.41180069,-0.61769752,-0.0016914584,-0.0013037854
half getraind,1,62,1,work,out,0.40006840,0.19739629,0.64828439,0.31947680,0.31972514
half getraind,1,63,1,work,out,-0.41540596,0.044829626,-0.64062893,-0.29601111,-0.29561082
half getraind,1,64,1,work,out,-0.21075687,0.58555962,-0.024549294,-0.16480807,-0.16746464
half getraind,1,65,1,work,out,0.22266702,-0.30062672,-0.20874942,0.15390567,0.15993488
half getraind,1,66,1,work,work,0.087863550,0.35913461,-0.24163432,0.00030756646,0.00033120698
half getraind,1,67,1,work,work,0.18454701,-0.41198374,-0.043492125,-0.00061420269,-0.00080073620
half getraind,1,68,1,work,out,0.052280072,0.10426314,0.21814107,0.0041730237,0.0036589591
half getraind,1,69,1,work,out,-0.10912695,-0.49069362,-0.44709124,0.0054370382,0.0059847576
half getraind,1,70,1,work,out,-0.55312878,-0.65419093,-1.1658774,-0.32504488,-0.32780524
half getraind,1,71,1,work,work,0.018484455,0.10623050,0.080273494,-0.00080517156,-0.0010453089
half getraind,1,72,1,work,work,0.022268578,-0.73251186,-1.7119793,-0.0015650413,-0.0014153526
half getraind,1,73,1,work,work,-0.11590283,-0.28404860,-0.41442781,-0.0010040224,-0.0010009945
begin prop=2,2,0,0,in,work,-0.13873053,-0.019041532,-0.13281652,-0.0013791972,-0.0013791972
begin prop=2,2,1,0,in,work,-0.13508795,-1.1609478,-1.3520202,-0.00072219169,-0.00072219169
begin prop=2,2,2,0,in,work,-0.24314916,1.1563241,1.4884166,-0.0014048510,-0.0014048510
begin prop=2,2,3,0,in,work,0.14236432,0.19904643,0.053009407,-0.00041822983,-0.00041822983
begin prop=2,2,4,0,in,work,-0.0073572216,-0.49711792,-0.67894895,0.00085666097,0.00085666097
begin prop=2,2,5,0,in,work,-0.14948839,0.050570714,-0.24738676,0.00067988555,0.00067988555
begin prop=2,2,6,0,in,work,0.14075407,0.19875830,0.10767213,-0.000064301664,-0.000064301664
begin prop=2,2,7,0,in,work,-0.11448754,-0.24397285,-0.36529758,0.0015891840,0.0015891840
begin prop=2,2,8,0,in,work,0.071524978,0.59483612,0.38896922,0.0010682267,0.0010682267
begin prop=2,2,9,0,in,work,0.18656386,-1.0261256,-0.57557502,0.00093285609,0.00093285609
begin prop=2,2,10,0,in,work,0.10076074,0.28479858,0.089802280,-0.000093504685,-0.000093504685
begin prop=2,2,11,0,in,work,-0.025265226,1.2468882,1.0173284,0.0032226894,0.0032226894
begin prop=2,2,12,0,in,work,-0.030206800,1.5439318,1.2383535,0.0019031258,0.0019031258
begin prop=2,2,13,0,in,work,0.22553000,-2.0087291,-1.5917062,-0.00016620513,-0.00016620513
begin prop=2,2,14,0,in,work,0.20462656,0.25880148,0.11737711,-0.00011917249,-0.00011917249
begin prop=2,2,15,0,in,work,-0.16245195,2.0473072,1.7982380,0.0028937150,0.0028937150
begin prop=2,2,16,0,in,work,-0.053365611,1.9445294,1.6842537,0.0015346740,0.0015346740
begin prop=2,2,17,0,in,work,-0.016341502,-2.4073985,-1.9019648,0.00062458534,0.00062458534
begin prop=2,2,18,0,in,work,-0.15074016,1.2242397,0.77204912,-0.00069214702,-0.00069214702
begin prop=2,2,19,0,in,work,0.24072853,0.55417779,0.28771871,-0.0010101108,-0.0010101108
begin prop=2,2,20,0,in,work,-0.10833246,-0.39247034,0.11175870,-0.00018281300,-0.00018281300
begin prop=2,2,21,0,in,work,-0.083769627,-0.088957562,-0.17734876,-0.0020230904,-0.0020230904
begin prop=2,2,22,0,in,work,0.035584155,-0.0014289000,-0.18833652,-0.0035049947,-0.0035049947
begin prop=2,2,23,0,in,work,0.12639323,-0.74615618,-0.98057154,-0.0016497338,-0.0016497338
begin prop=2,2,24,0,in,work,0.11700771,1.2958698,1.5905395,-0.00020062311,-0.00020062311
begin prop=2,2,25,0,in,work,-0.13919041,-0.039783407,-0.11105468,-0.0015319319,-0.0015319319
begin prop=2,2,26,0,in,work,0.040943913,-1.0020400,-1.4176643,-0.0031369909,-0.0031369909
begin prop=2,2,27,0,in,work,0.17233816,-1.2708203,-1.4735591,-0.00047637525,-0.00047637525
begin prop=2,2,28,0,in,work,0.087308884,1.0249724,0.90465386,0.0012079203,0.0012079203
begin prop=2,2,29,0,in,work,0.046754852,0.037567323,0.011532413,-0.00066315702,-0.00066315702
begin prop=2,2,30,0,in,work,0.14990826,1.1997217,0.98000645,0.00068489569,0.00068489569
begin prop=2,2,31,0,in,work,0.21906336,0.53300432,0.49252985,0.00085226613,0.00085226613
begin prop=2,2,32,0,in,work,-0.24990302,-0.029690880,-0.048063770,-0.0013474821,-0.0013474821
begin prop=2,2,33,0,in,work,-0.15425014,-0.30076570,-0.47145892,-0.00013908144,-0.00013908144
begin prop=2,2,34,0,in,work,-0.084304929,0.75705191,0.88820370,-0.00071705280,-0.00071705280
begin prop=2,2,35,0,in,work,0.18722455,0.0051148953,-0.090273728,-0.00066762574,-0.00066762574
begin prop=2,2,36,0,in,work,0.064429186,-0.45530846,-0.56763156,-0.0026825162,-0.0026825162
begin prop=2,2,37,0,in,work,0.066042282,-0.82064604,-1.0342688,-0.0010947917,-0.0010947917
begin prop=2,2,38,0,in,work,-0.11373698,1.2214191,1.4274494,-0.00064642404,-0.00064642404
begin prop=2,2,39,0,in,work,-0.19625160,-0.45006767,-0.72830977,-0.0021200126,-0.0021200126
begin prop=2,2,40,0,in,work,-0.020415314,-0.63845426,-0.83879244,-0.00066260779,-0.00066260779
begin prop=2,2,41,0,in,work,0.18347465,0.83596067,0.93238990,-0.00057400417,-0.00057400417
begin prop=2,2,42,0,in,work,0.10786029,0.072895397,-0.043677507,0.00027250571,0.00027250571
begin prop=2,2,43,0,in,work,0.12110409,-0.34706741,-0.57304735,-0.00016658124,-0.00016658124
begin prop=2,2,44,0,in,work,-0.036194492,0.034313739,0.18234539,-0.00028045808,-0.00028045808
begin prop=2,2,45,0,in,work,-0.087756962,0.10014123,0.012245997,-0.000018131696,-0.000018131696
begin prop=2,2,46,0,in,work,0.075527795,-0.089566579,-0.19311374,0.0010392259,0.0010392259
begin prop=2,2,47,0,in,work,0.20991054,0.29964174,0.19994552,0.00061057338,0.00061057338
begin prop=2,2,48,0,in,work,-0.22700045,-0.61149366,-0.39333593,0.00027493456,0.00027493456
begin prop=2,2,49,0,in,work,-0.13956475,0.14292577,0.11351494,0.00027669698,0.00027669698
begin prop=2,2,50,0,in,work,-0.22247815,0.65247731,0.39887639,0.0017840033,0.0017840033
begin prop=2,2,51,0,in,work,-0.020594226,0.86058720,0.59151851,0.00075795738,0.00075795738
begin prop=2,2,52,0,in,work,-0.22394240,-1.1327873,-0.77786650,0.00030985942,0.00030985942
